sku,description,unit_price,category,image_url
10002,INFLATABLE POLITICAL GLOBE,0.85,General,https://api.openverse.org/v1/images/95ae6d34-5ea7-46ac-9ae3-bd585872c763/thumb/
10002R,ROBOT PENCIL SHARPNER,5.17,General,
10080,GROOVY CACTUS INFLATABLE,0.39,General,
10109,BENDY COLOUR PENCILS,0.42,General,
10120,DOGGY RUBBER,0.21,General,
10123C,HEARTS WRAPPING TAPE,0.65,General,
10123G,ARMY CAMO WRAPPING TAPE,0.65,General,
10124A,SPOTS ON RED BOOKCOVER TAPE,0.42,General,
10124G,ARMY CAMO BOOKCOVER TAPE,0.42,General,
10125,MINI FUNKY DESIGN TAPES,0.85,General,
10133,COLOURING PENCILS BROWN TUBE,0.83,General,
10134,COLOURING PENCILS BROWN TUBE,1.25,General,
10135,COLOURING PENCILS BROWN TUBE,1.25,General,
10138,ASSORTED COLOUR JUMBO PEN,0.42,General,
11001,ASSTD DESIGN RACING CAR PEN,1.69,General,
15030,FAN BLACK FRAME,0.29,General,https://api.openverse.org/v1/images/8ec53748-2acc-4984-8a6f-528cbb3fb3d9/thumb/
15034,PAPER POCKET TRAVELING FAN,0.14,General,https://api.openverse.org/v1/images/582db183-fd66-47f5-a685-7c461324fc0f/thumb/
15036,ASSORTED COLOURS SILK FAN,0.83,General,https://api.openverse.org/v1/images/582db183-fd66-47f5-a685-7c461324fc0f/thumb/
15039,SANDALWOOD FAN,0.85,General,https://api.openverse.org/v1/images/582db183-fd66-47f5-a685-7c461324fc0f/thumb/
15044A,PINK PAPER PARASOL,2.95,General,
15044B,BLUE PAPER PARASOL,2.95,General,
15044C,PURPLE PAPER PARASOL,2.95,General,
15044D,RED PAPER PARASOL,2.95,General,
15056BL,EDWARDIAN PARASOL BLACK,5.95,General,
15056N,EDWARDIAN PARASOL NATURAL,5.95,General,
15056P,EDWARDIAN PARASOL PINK,5.95,General,
15058A,BLUE POLKADOT GARDEN PARASOL,7.95,General,
15058B,PINK POLKADOT GARDEN PARASOL,7.95,General,
15058C,ICE CREAM DESIGN GARDEN PARASOL,7.95,General,
15059A,ENGLISH ROSE EDWARDIAN PARASOL,13.00,General,
15060B,FAIRY CAKE DESIGN UMBRELLA,3.75,General,
16008,SMALL FOLDING SCISSOR(POINTED EDGE),0.12,General,https://api.openverse.org/v1/images/a3d6b716-b188-48a4-a421-2e7d582c2d64/thumb/
16010,FOLDING CAMPING SCISSOR W/KNIF & S,0.12,General,
