antecedent_sku,consequent_sku,support,confidence,lift
22698,22697,0.027620,0.843750,19.565743
22698,22699,0.025957,0.792969,17.567740
21086,21094,0.020811,0.774078,24.708901
22697,22699,0.033054,0.766494,16.981201
21231,21232,0.035452,0.750338,9.796362
22699,22697,0.033054,0.732295,16.981201
82581,82580,0.021162,0.727473,17.136141
21733,85123A,0.039703,0.712156,4.180458
84997C,84997D,0.022825,0.702065,18.965453
21094,21080,0.021898,0.698980,10.357878
22356,20724,0.034429,0.681214,10.502587
21094,21086,0.020811,0.664286,24.708901
22726,22727,0.026725,0.662966,15.282903
20723,20724,0.028643,0.650690,10.031977
85099F,85099B,0.038009,0.643050,5.066977
22697,22698,0.027620,0.640474,19.565743
22386,85099B,0.045649,0.637785,5.025487
84997C,84997B,0.020427,0.628319,17.917103
22630,22629,0.026501,0.623308,14.284490
84997D,84997C,0.022825,0.616580,18.965453
22727,22726,0.026725,0.616065,15.282903
22629,22630,0.026501,0.607326,14.284490
20712,85099B,0.027268,0.605394,4.770260
20713,85099B,0.025030,0.602771,4.749595
22866,22865,0.020747,0.602600,15.643591
21928,85099B,0.029474,0.602221,4.745257
20711,85099B,0.020139,0.601719,4.741305
84970L,84970S,0.021770,0.600000,12.413492
85099C,85099B,0.035580,0.598387,4.715049
22910,22086,0.026821,0.595035,9.424759
22385,85099B,0.023592,0.592771,4.670797
20719,20724,0.029602,0.589809,9.093348
21213,21212,0.027556,0.585598,5.882682
21791,21790,0.024487,0.585180,9.862923
84997B,84997C,0.020427,0.582498,17.917103
21975,21212,0.024039,0.578017,5.806527
22699,22698,0.025957,0.575071,17.567740
22381,22379,0.020075,0.572993,11.489973
20971,20972,0.020875,0.571804,12.905605
21931,85099B,0.042453,0.571675,4.504565
21929,85099B,0.029282,0.569298,4.485836
84991,21212,0.038265,0.563825,5.663958
82482,82494L,0.035612,0.558956,8.600724
21977,21212,0.035516,0.558291,5.608373
22355,20724,0.030689,0.554273,8.545467
21930,85099B,0.023240,0.552852,4.356249
22384,20725,0.036954,0.551001,5.645729
84992,21212,0.025638,0.550446,5.529562
82494L,82482,0.035612,0.547959,8.600724
22865,22866,0.020747,0.538589,15.643591
20723,22355,0.023688,0.538126,9.719208
20726,20725,0.032926,0.537018,5.502453
22697,22423,0.023048,0.534470,4.432473
20719,22355,0.026789,0.533758,9.640310
20723,22356,0.023464,0.533043,10.546898
22411,85099B,0.037178,0.532509,4.195958
20724,22356,0.034429,0.530803,10.502587
22699,22423,0.023784,0.526912,4.369795
22356,22355,0.026629,0.526882,9.516117
21930,21931,0.021993,0.523194,7.045438
22470,22469,0.031999,0.517580,7.612103
21975,84991,0.021514,0.517294,7.622234
20727,20725,0.038425,0.513675,5.263278
21755,21754,0.027684,0.513337,7.825642
20728,20725,0.033438,0.507274,5.197694
20723,20719,0.022153,0.503268,10.027534
84992,84991,0.023400,0.502402,7.402801
